Date,Simple Date,Outdoor Temperature (°F),Humidity (%),,Event Rain (in)
2023-04-05T23:55:00-04:00,4/5/2023 23:55,74.8,69,,0
2023-04-05T23:50:00-04:00,4/5/2023 23:50,74.7,69,,0
2023-04-05T23:45:00-04:00,4/5/2023 23:45,74.5,69,,0
2023-04-05T23:40:00-04:00,4/5/2023 23:40,74.3,70,,0
2023-04-05T23:35:00-04:00,4/5/2023 23:35,74.3,70,,0
2023-04-05T23:30:00-04:00,4/5/2023 23:30,74.3,70,,0
2023-04-05T23:25:00-04:00,4/5/2023 23:25,74.5,70,,0
2023-04-05T23:20:00-04:00,4/5/2023 23:20,74.7,69,,0
2023-04-05T23:15:00-04:00,4/5/2023 23:15,74.8,69,,0
2023-04-05T23:10:00-04:00,4/5/2023 23:10,75,68,,0
2023-04-05T23:05:00-04:00,4/5/2023 23:05,75.4,68,,0
2023-04-05T23:00:00-04:00,4/5/2023 23:00,75.6,67,,0
2023-04-05T22:55:00-04:00,4/5/2023 22:55,75.9,67,,0
2023-04-05T22:50:00-04:00,4/5/2023 22:50,75.9,66,,0
2023-04-05T22:45:00-04:00,4/5/2023 22:45,75.9,66,,0
2023-04-05T22:40:00-04:00,4/5/2023 22:40,75.7,66,,0
2023-04-05T22:35:00-04:00,4/5/2023 22:35,75.9,66,,0
2023-04-05T22:30:00-04:00,4/5/2023 22:30,75.9,66,,0
2023-04-05T22:25:00-04:00,4/5/2023 22:25,76.1,65,,0
2023-04-05T22:20:00-04:00,4/5/2023 22:20,76.3,65,,0
2023-04-05T22:15:00-04:00,4/5/2023 22:15,76.5,64,,0
2023-04-05T22:10:00-04:00,4/5/2023 22:10,76.5,64,,0
2023-04-05T22:05:00-04:00,4/5/2023 22:05,76.3,64,,0
2023-04-05T22:00:00-04:00,4/5/2023 22:00,76.5,64,,0
2023-04-05T21:55:00-04:00,4/5/2023 21:55,76.5,64,,0
2023-04-05T21:50:00-04:00,4/5/2023 21:50,76.6,64,,0
2023-04-05T21:45:00-04:00,4/5/2023 21:45,76.6,63,,0
2023-04-05T21:40:00-04:00,4/5/2023 21:40,76.8,63,,0
2023-04-05T21:35:00-04:00,4/5/2023 21:35,76.8,62,,0
2023-04-05T21:30:00-04:00,4/5/2023 21:30,77,62,,0
2023-04-05T21:25:00-04:00,4/5/2023 21:25,77.2,62,,0
2023-04-05T21:20:00-04:00,4/5/2023 21:20,77.4,61,,0
2023-04-05T21:15:00-04:00,4/5/2023 21:15,77.5,61,,0
2023-04-05T21:10:00-04:00,4/5/2023 21:10,78.1,60,,0
2023-04-05T21:05:00-04:00,4/5/2023 21:05,78.3,59,,0
2023-04-05T21:00:00-04:00,4/5/2023 21:00,78.4,58,,0
2023-04-05T20:55:00-04:00,4/5/2023 20:55,78.4,58,,0
2023-04-05T20:50:00-04:00,4/5/2023 20:50,78.4,58,,0
2023-04-05T20:45:00-04:00,4/5/2023 20:45,78.1,58,,0
2023-04-05T20:40:00-04:00,4/5/2023 20:40,78.3,58,,0
2023-04-05T20:35:00-04:00,4/5/2023 20:35,78.6,58,,0
2023-04-05T20:30:00-04:00,4/5/2023 20:30,78.8,56,,0
2023-04-05T20:25:00-04:00,4/5/2023 20:25,79.2,56,,0
2023-04-05T20:20:00-04:00,4/5/2023 20:20,79.3,56,,0
2023-04-05T20:15:00-04:00,4/5/2023 20:15,79.5,55,,0
2023-04-05T20:10:00-04:00,4/5/2023 20:10,79.9,54,,0
2023-04-05T20:05:00-04:00,4/5/2023 20:05,80.2,54,,0
2023-04-05T20:00:00-04:00,4/5/2023 20:00,80.4,53,,0
2023-04-05T19:55:00-04:00,4/5/2023 19:55,80.8,52,,0
2023-04-05T19:50:00-04:00,4/5/2023 19:50,80.8,53,,0
2023-04-05T19:45:00-04:00,4/5/2023 19:45,81.1,52,,0
2023-04-05T19:40:00-04:00,4/5/2023 19:40,81.3,51,,0
2023-04-05T19:35:00-04:00,4/5/2023 19:35,81.5,51,,0
2023-04-05T19:30:00-04:00,4/5/2023 19:30,81.9,51,,0
2023-04-05T19:25:00-04:00,4/5/2023 19:25,82,50,,0
2023-04-05T19:20:00-04:00,4/5/2023 19:20,82.2,49,,0
2023-04-05T19:15:00-04:00,4/5/2023 19:15,82.4,49,,0
2023-04-05T19:10:00-04:00,4/5/2023 19:10,82.8,49,,0
2023-04-05T19:05:00-04:00,4/5/2023 19:05,82.9,48,,0
2023-04-05T19:00:00-04:00,4/5/2023 19:00,83.5,48,,0
2023-04-05T18:55:00-04:00,4/5/2023 18:55,83.7,47,,0
2023-04-05T18:50:00-04:00,4/5/2023 18:50,83.8,48,,0
2023-04-05T18:45:00-04:00,4/5/2023 18:45,84,49,,0
2023-04-05T18:40:00-04:00,4/5/2023 18:40,84.2,48,,0
2023-04-05T18:35:00-04:00,4/5/2023 18:35,84.2,47,,0
2023-04-05T18:30:00-04:00,4/5/2023 18:30,84.7,46,,0
2023-04-05T18:25:00-04:00,4/5/2023 18:25,84.4,47,,0
2023-04-05T18:20:00-04:00,4/5/2023 18:20,84.2,47,,0
2023-04-05T18:15:00-04:00,4/5/2023 18:15,84.4,47,,0
2023-04-05T18:10:00-04:00,4/5/2023 18:10,84.2,48,,0
2023-04-05T18:05:00-04:00,4/5/2023 18:05,84,49,,0
2023-04-05T18:00:00-04:00,4/5/2023 18:00,83.8,49,,0
2023-04-05T17:55:00-04:00,4/5/2023 17:55,83.5,49,,0
2023-04-05T17:50:00-04:00,4/5/2023 17:50,83.7,48,,0
2023-04-05T17:45:00-04:00,4/5/2023 17:45,83.7,48,,0
2023-04-05T17:40:00-04:00,4/5/2023 17:40,83.7,49,,0
